"Index","EURUSD.Open","EURUSD.High","EURUSD.Low","EURUSD.Close","EURUSD.Volume","EURUSD.Adjusted"
2005-02-15,1.2976,1.3053,1.2955,1.3024,NA,NA
2005-02-16,1.3025,1.3065,1.296,1.302,NA,NA
2005-02-17,1.302,1.309,1.3016,1.3084,NA,NA
2005-02-18,1.3084,1.3089,1.3014,1.3072,NA,NA
2005-02-21,1.3068,1.308,1.3032,1.3071,NA,NA
2005-02-22,1.3071,1.3244,1.3055,1.3234,NA,NA
2005-02-23,1.3234,1.3274,1.3186,1.3207,NA,NA
2005-02-24,1.3208,1.327,1.3177,1.3214,NA,NA
2005-02-25,1.3214,1.3245,1.3146,1.3245,NA,NA
2005-02-28,1.3247,1.328,1.3233,1.3254,NA,NA
2005-03-01,1.3254,1.3263,1.3169,1.3174,NA,NA
2005-03-02,1.3175,1.319,1.3089,1.3125,NA,NA
2005-03-03,1.3126,1.3165,1.3114,1.3125,NA,NA
2005-03-04,1.3125,1.3255,1.3088,1.3237,NA,NA
2005-03-07,1.3232,1.3248,1.3179,1.3215,NA,NA
2005-03-08,1.3215,1.3363,1.32,1.3331,NA,NA
2005-03-09,1.3331,1.3421,1.333,1.3408,NA,NA
2005-03-10,1.3408,1.3456,1.3371,1.3417,NA,NA
2005-03-11,1.3417,1.3481,1.3392,1.3458,NA,NA
2005-03-14,1.3462,1.3478,1.3336,1.3353,NA,NA
2005-03-15,1.3353,1.3411,1.3297,1.3317,NA,NA
2005-03-16,1.3317,1.344,1.3292,1.3412,NA,NA
2005-03-17,1.3412,1.3425,1.3343,1.336,NA,NA
2005-03-18,1.3359,1.3386,1.3266,1.3326,NA,NA
2005-03-21,1.3321,1.3321,1.3141,1.3158,NA,NA
2005-03-22,1.3158,1.3219,1.3149,1.3196,NA,NA
2005-03-23,1.3196,1.3209,1.2967,1.2992,NA,NA
2005-03-24,1.2993,1.3033,1.2946,1.2954,NA,NA
2005-03-25,1.2954,1.2971,1.2929,1.2959,NA,NA
2005-03-28,1.295,1.2965,1.2857,1.2884,NA,NA
2005-03-29,1.2884,1.2956,1.287,1.2914,NA,NA
2005-03-30,1.2914,1.2984,1.2913,1.2964,NA,NA
2005-03-31,1.2965,1.3019,1.2912,1.2968,NA,NA
2005-04-01,1.2968,1.3056,1.2871,1.2914,NA,NA
2005-04-04,1.29,1.2909,1.2819,1.2841,NA,NA
2005-04-05,1.2841,1.2867,1.2801,1.2849,NA,NA
2005-04-06,1.2849,1.2911,1.284,1.2887,NA,NA
2005-04-07,1.2887,1.2941,1.2863,1.2904,NA,NA
2005-04-08,1.2904,1.2932,1.2809,1.2932,NA,NA
2005-04-11,1.2921,1.3003,1.2908,1.2995,NA,NA
2005-04-12,1.2995,1.3014,1.2864,1.2883,NA,NA
2005-04-13,1.2883,1.2955,1.2851,1.2904,NA,NA
2005-04-14,1.2904,1.2922,1.2768,1.2815,NA,NA
2005-04-15,1.2816,1.294,1.278,1.2924,NA,NA
2005-04-18,1.293,1.3045,1.2877,1.3033,NA,NA
2005-04-19,1.3033,1.3053,1.2983,1.3026,NA,NA
2005-04-20,1.3026,1.3101,1.2992,1.3087,NA,NA
2005-04-21,1.3086,1.3124,1.3026,1.304,NA,NA
2005-04-22,1.3041,1.3093,1.3022,1.3065,NA,NA
2005-04-25,1.3082,1.3082,1.2955,1.2978,NA,NA
2005-04-26,1.2979,1.3015,1.2946,1.2961,NA,NA
2005-04-27,1.296,1.2994,1.2906,1.2936,NA,NA
2005-04-28,1.2937,1.2948,1.2883,1.2896,NA,NA
2005-04-29,1.2896,1.298,1.2873,1.2873,NA,NA
2005-05-02,1.288,1.288,1.2837,1.2845,NA,NA
2005-05-03,1.2845,1.2901,1.283,1.2891,NA,NA
2005-05-04,1.2891,1.2974,1.2853,1.2937,NA,NA
2005-05-05,1.2937,1.299,1.2926,1.2954,NA,NA
2005-05-06,1.2953,1.2968,1.2811,1.2819,NA,NA
2005-05-09,1.2839,1.2846,1.279,1.2832,NA,NA
2005-05-10,1.2831,1.2891,1.2816,1.2876,NA,NA
2005-05-11,1.2877,1.2913,1.2778,1.281,NA,NA
2005-05-12,1.2811,1.2816,1.2693,1.2704,NA,NA
2005-05-13,1.2704,1.2715,1.2617,1.2633,NA,NA
2005-05-16,1.261,1.2648,1.2582,1.2636,NA,NA
2005-05-17,1.2637,1.2663,1.2606,1.2645,NA,NA
2005-05-18,1.2645,1.2676,1.2586,1.2671,NA,NA
2005-05-19,1.2672,1.2691,1.2605,1.263,NA,NA
2005-05-20,1.263,1.2655,1.2537,1.2559,NA,NA
2005-05-23,1.2554,1.2598,1.2536,1.2563,NA,NA
2005-05-24,1.2562,1.2629,1.2557,1.2578,NA,NA
2005-05-25,1.2578,1.2619,1.2552,1.2606,NA,NA
2005-05-26,1.2605,1.2614,1.2506,1.2519,NA,NA
